text,labels
"

As to preclude the DMK, the AIADMK, the DMK and the AIADMK to preclude people shouting Vote
",0
"

Over the past 10 years, the people dissatisfied with the rule of the AIADMK DMK So this time should rule",1
"DMK government had to do in Corona

",1
"The family rule is a war between democracy in this election. In Tamil Nadu, the DMK conclude ...",0
"CNN's AIADMK, the DMK will cenc Ammo. # TNElection2021 # DMK",1
"

DMK-AIADMK state autonomy until today did what?",0
DMK candidate Aruna vote PAA collect alati letting Devendra drove peasant communities ancestry!,1
"In Tamil Nadu, the central fascist regime of slavery fallen regime shaky foundation.

# TNElection2021
",1
"Pottiyituvatutan single largest party in the 234-seat! DMK

",1
timukavenampota #dmk #dmkfails # TNElection2021 #ADMK # # # DMK tiruttutimuka,0
"
After seeing Phaa poll results ... it s neck to neck with winning results DMK ... You will note this result because they have not win with this political party BJP alliance
# TNElection2021",1
"

Personally speaking on the phone in the case of reservation CM VANNIYAR palanicami election campaign ...",1
"

Let's do so as the latter is in the report; What is the growth in the last 10 years, then ...",1
Excellent speech by On A.Raja and DMK! Perfect example of how an alliance partner should support the alliance ...,1
As much as I'd like an #AIADMK win #DMK will win 120-130 seats despite vote share shrinkage. #AMMK spoilsport in #PandiyaNadu to cut into the traditional #ADMK #Mukkulathor votes paving way for a DMK win. This is the opinion with onground caste based voting block # TNElection2021,1
"The right of equal quality education, free medicine!

",1
"
Tami nadu vote for us if you want to be safe and crime free for women! DMK LosingTN

",0
"DMK's keen Nehru porn video leaks.

",0
"Perfect for tomorrow's dawn varaverrita, utayacuriyan promise.
",1
"Do not vote for the bill Ott good cause for dmk
",1
"

The poll became a business. Others push the idea. We are ...",1
This election is like the story of our #Sulthan image. Come along as we're clear arakkankala #DMK #BJP acurankala ...,1
"DMK MP re-election campaign started Cow. Raza!

",0
"Motukirara with Modi, Udhayanidhi? Bridle unable DMK !!

",1
Keeping having sex will be destroyed caste - Thousand Lights DMK candidate's shocking speech! #DMKFails # TNElection202 ...,0
GAO was arrested for distribution of money to voters #DMK # TNElection2021,0
"The last time the payment made sporadic power outages, the DMK and AIADMK have launched. To 10 times a day ...",0
Grandfather collected konci candidate to vote for little girls ..! Gus won the right #Coimbatore # TNElection ...,0
"

Stalin says will give subsidy to farmers. From where will. Where is the funding?

",0
"Upper caste girl., Under the End caste caste boy having sex.! This creates the DMK candidate's campaign on anger people 's side",0
"Laden with bags of money lying propaganda ':
... Who will precede the end of the conflict?
",0
"The aim is to seize power, Modi government: Stalin's criticism ...
",1
"For the first time in the history of Indian politics in the state, the income tax raid, despite the absence of a state ruled by the opposition ""DMK, the Congress,"" DMK Party states that the reason ?????",1
": Ride the guts to come to my house! ... .. who challenged Udayanidhi
",0
"People have decided .. DMK WILL WIN!
",1
"DMK candidate's campaign of false advertisements torn apart by the angry public!

#DMK #DMKFails # TNElection2021",1
"I promise to intimidate Theater- yar acquired Udhayanidhi Stalin. dmk fails

",0
"Horoscope, who will rule over the castle? # Mukastalina? # Etappatipalanicamiya? #TamilNadu #BREAKING #MKStalin",1
"Ramakirusnapurat brother Ashok Kumar's house in the town of centilpalaji IT Raid

",0
"OMG ?? they are openly doing so to all these power grab. If they are investing so much, can imagine the loot & communal riots after coming to power to cover it up.
Beware #Tamilans
",0
GAO was arrested for distribution of money to voters #DMK # TNElection2021,0
"Stalin showed nothing of the Mass ancamattom ... | MK Stalin | DMK | TNElection2021 |
",1
Kolathur assembly election campaign in the constituency of Stalin concludes,1
"RT @IbcTamilnadu: DMK policies criminalize people! | Actress Rohini Speech

",1
"I-T dept raids gave DMK 'good publicity': Udhayanidhi Stalin ahead of Tamil Nadu polls

",0
"Tamil Nadu, the DMK's rights To establish ""mukastal the #Puducherry | #MKStalin | #DMK",1
"Dindigul Leoni filed against DMK s Case, A. Raja and MP speaking in a derogatory manner about women for DayanidhiMaran under two sections.

",0
"Can you take a handful of sand ..?
",0
"Raja, Dayanidhi Maran, the Federal Criminal Police registered a case against Dindigul Leoni.!
# TNElection2021",0
DMK candidate Aruna vote PAA collect alati letting Devendra drove peasant communities ancestry!,1
"DMK MPs Raja, Dayanidhi Maran, a DMK spokesperson of the police on the charge of Dindigul Leoni.

In pornography, abuse, without being provoked to revolt, and on 2 persons case under sections 3.

#DMK # TNElection2021",0
"Where is the political representation of women in Tamil Nadu?



#dmk # TNElection2021",0
"candidates accused of serious crimes
Fielded Parties Those Charged With Murder, Rape",0
"

Let s give new people a chance to

",1
"Tricked fishermen ..!
",0
"Modi's policies criminalize people! dmk wins if everything will change



# DMKTNElection2021",1
"

If not does Dmk never going to win this election win for then they sudalai next 10 years and will always be opposition party ??

# TNElection2021 # TNAssemblyElections2021 #Politcs # TNElections2021 #TNPolitics #DMK",1
"Predicament of the people of T. Nagar


# TNElection2021 #DMK #MKStalin",0
"Please annamalaiyai disqualified by intimidation campaign meeting.

Cow. Raja Campaign ...",0
"DMK distributed money because in the line of raid

2 days earlier because of raid in #Sabareesan
",0
"""The fear of failure in the Raid BJP fraudulent activities such as the growing public support for the DMK""

",1
"Prime Minister, farmers, fishermen, concerned about Stalin worried about his son. I talk more about Stalin by utayanitiyaip rattakkotippu

",1
"""I do tertalla information published pottiyitalanu dmk candidate says

",0
"What was Stalin's daughter got home? Vairalakum income tax receipt!

",0
"This is the last bear! DMK candidate cries cry
",1
3 places belonging to the DMK Northern Union Secretary rubadub checking income tax returns; A major money ...,1
"Confirm success DMK 150+ ..

4-5% of the votes all of which often separates the urban vote, to go to the DMK ..

If you are without a job Kamal ...

DMK wins compiled 200+ ..
# TNElection2021 #ADMK",1
"DMK distributed money because in the line of raid

2 days earlier because of raid in #Sabareesan

People will forget what ever you give Half Tamilnadu.

DMK will lose many votes in this way

# TNElection2021",0
"Udhayanidhi Stalin, DMK is attempting mutalvarakka:
",0
We want #DMK and #admk join together to help and support people # TNElection2021 #Help #jointogether # TamilNaduElections2021,1
"Tea, dosa, Parotta, poriyal preparing fish, clothes and wash the candidates TN
# TNElection2021",0
"The viral video of the DMK candidate.! Draw. So casting., DMK's self-respect herself.What meet laughs.

#DMK #MKStalin # TNElection2021",0
"
#DMK alliance is likely winning # TNElection2021.
I guess, you can stop on your probing questions in different seats prospects ??",1
"Mr. Stalin., Meant to house not only the ID Raid What Does the legislation? The voice of the people.! ...",1
"""If the money is not paid oesmaniyan noesmaniyan ''

",0
"We are not a slave -
",0
"Nothing reytula kitaikkalena person who reported the case anymore totukkuma income tax

",0
"DMK candidates took to social media to campaign for their rival candidates to invite PMModi, as they believed it would increase their winning margins in # TNElection2021.
",0
"Ilavaracare @Udhaystalin sketch inside the house for money like there's your sister, your sister home. Enrolled with the people in your cushy life
",0
"If we go by the information Ravindran Duraisamy, AIADMK 35 - 45 blocks up the suspect's vellumo arises ...",1
"""This is seen emarjenciyaiye Stalin;

ID reytukkellam fear DMK ""

",1
"Opinion slave Tell me, why do you vote for potanumrat toniccu's fair to blame. #DMK # TNElection2021",1
"CHEAT IS DMK, Stalin's daughter aitireytu

",0
"Else Vote Else Said hello to DMK in BJP votes scattered vantirum ..

Vantuttanatuttu he came to power in 2016, the latter model, Slave ticamparlaye without the state autonomy nilainattunka to you ..
",0
"If we go by the information Ravindran Duraisamy, AIADMK 35 - 45 blocks to the suspicion arises that the vellumo. The opposition says the Kongu region. The Hindu Nadar vakkileye says the girl has a small loss. # TNElection2021 #AIADMK #BJP #DMK",1
"In the case of the port of fishermen deceptive Prime Minister

Revenue authorities, leaving nothing to the test ...",1
"The anti-incumbency of the past two elections cycle culminating into is an advantage for the C-Voter poll per as the DMK.

# TNElection2021",1
"This was a move that was expected .. Even before DMK election by campaigning preparation begun in July, the expectation for the elections was expected before a raid at any given point ...
#DMK #VoteForDMK #ADMK # TamilNaduElections2021 # TNElection2021 # TNElections2021",1
"Office of the Deputy Chief opies near Bodi AIADMK treasurer of District Council Kurinci mother at the Income Tax raid on the house!

#AIADMK #DMK # TNElection2021",1
"The main point of the DMK's first at home this morning Raid ID.
",0
"Stalin has promised Tamils ​​of 75% for job reservation in the govt sector and said that he will introduce a similar system to urge private companies. He even promised to scrap #NEET. Listing the #DMK manifesto.

# TNElection2021 # TNAssemblyElections2021
",1
This india realises this at the earliest the sooner she gets the good and reap the benefit,1
"Karumbukadai is one of the most populated constituencies in # TamilNadu's #Coimbatore. Yet, it lacks proper roads, healthcare centres, government banks, and even a government school.

# TNElection2021 # TNAssemblyElections2021 #DMK #AIADMK @TheQuint
",1
"We are with #DMK to save democracy, '@thirumaofficial
tells me about what #VCK is all about, how they intend to not let #BJP enter #TamilNadu

# TNElection2021

",1
Thanks to the Prime Minister to arrange for an income tax raid,1
