text,labels
"

As to preclude the DMK, the AIADMK, the DMK and the AIADMK to preclude people shouting Vote

",1
"
Over the past 10 years, the people dissatisfied with the AIADMK regime

",0
"

Personally speaking on the phone in the case of reservation CM VANNIYAR palanicami election campaign are reluctant to say why? - espilatcumanan, journalist

",0
"

To keep safe from TN rowdism, corruption and goondaism.

",1
"

DMK-AIADMK state autonomy until today did what?",0
"The ruling AIADMK in Tamil Nadu, people decided to continue "":

",1
DMK sweeping with 200+ win in tamilnadu # TNElections2021,1
"

Positioning the AIADMK in Tamil Nadu, which is said to support

",1
Vijay fan support to palanicami Edappadi board!,1
"Hypocrisy at its peak!
TNElection2021

",0
"Kanchi Mutt Jayendra Saraswati Swami in Brindavan, Mrs. Maha great, and Vrindavan. Shashikala vike taricitta ...",1
"

Let's do so as the latter is in the report; What is the growth in the last 10 years, then ...",0
"Have you patikkapattu?

",0
"

Let's do so as the latter is in the report; In the past 10 years, reached the state of growth, then what? - Dr. Kanimozhi, DMK

",0
"Viralimalai serious voting block in the process of collecting ennotu my youngest daughter ...
With the overwhelming response from the people
Great 'success' ...",1
"Namakkal district, centamankalam block B amamuka candidate. Moon, minister IMDb presence today incorporated in the hotspot itself.",1
"""Said, any first experienced the pain!""",1
"The last time the payment made sporadic power outages, the DMK and AIADMK have launched. To 10 times a day ...",0
"Election horrors! Alavitunkata Sami !! | TN Election 2021 Spoof

",0
"Brother say .. I came to politics, one day ..! Seeman Interview



",1
"Suddenly opies pitched tweet.! Terikkavitum report back.!

#AIADMK #OPS #EPS #ADMK # TamilNaduElections2021",1
"The national president of the BJP's election campaign in the district irotu jepinatta text!

",1
"For the first time in the history of Indian politics in the state, the income tax raid, despite the absence of a state ruled by the opposition ""DMK, the Congress party,"" says the latter being the reason ???",1
"Supporting actor RK Rajan Chellappah Suresh serious ballot collection

",1
"Salem District AIADMK's Castle - CM palanicami

",1
"RT @toi_Arunram: 207 candidates accused of serious crimes
Parties Fielded Those Charged With Murder, Rape:
Says a report by the Associatio ...",0
"That in turn brings Sweetheart issue of national thinking.

Nationalism and sacred way our two eyes start going to the gold Muthuramalinga Devar tirumakanar.

",1
"Tea, dosa, Parotta, poriyal preparing fish, clothes and wash the candidates TN",0
"
How will the ipies after May 2?

",0
"Shot and killed 13 people, actively and we gave voice - Actress Rohini about AIADMK

",0
"Flying Cow tirumalapuram near Poti electoral force in the market for testing

Upon payment of the latter, the former kavu ...",0
"RT @ news7tamil: # cirappuatukalam | Tamil Nadu Chief Minister Edappadi palanicami
",1
"Home Minister Amit Shah in the Thousand Lights constituency election campaign!

",1
"""Vote for AIADMK in palta to poturat kuticci die""",0
"We are not a slave - CM Edappadi an inspiring speech palanicami

",1
"Nothing reytula kitaikkalena person who reported the case anymore totukkuma income tax

",0
Called Modi to campaign in his constituency eps,1
"We have allocated one lakh crore in Tamil Nadu Road Development
",1
"If we go by the information Ravindran Duraisamy, AIADMK 35 - 45 blocks up the suspect's vellumo arises ...",0
"""# AIADMK's decision to conduct a caste census and allocate 10.5% sub-quota reservation for #Vanniyars is a masterstroke:"" Experts comment on how @EPSTamilNadu is tackling caste this # TNElection2021

",1
Ravindran says AIADMK will face a disastrous defeat in Coimbatore district Thuraisamy ??,0
"Stalin's daughter aitireytu; Vibhuti who hit?

Read more",1
"Theni district council treasurer kurincimani Jayalalithaa took the test at home

Kurincimani test the condition of the home, ive ...",0
"Flying Cow tirumalapuram near Poti electoral force in the market for testing

Upon payment of the AIADMK Chittaranjan former councilor arrested

Election of Rs 1 lakh 50 thousand was acquired from Chittaranjan flying squad

",0
we are waiting # TNElections2021,0
"Office of the Deputy Chief opies near Bodi AIADMK treasurer of District Council Kurinci mother at the Income Tax raid on the house!

",0
"Vice Principal's Office at opies aitireytu
",0
"# Sasikala's retirement is great news for #AIADMK. Sources have told me that orchestrated BJP could improve to the episode AIADMK alliance s prospects

# TNElection2021 # TNElections2021
",1
"When it is reading that AIADMK & BJP Why 's promise to establish ""Islamic Universities"" makes me remember the holocaust and concentration camp?

this is just me ??
",1
